matrix_size,threads,repeat,time_sec,checksum,speedup
20000,1,1,0.619638,402419699.979018,0.000000
20000,1,2,0.614894,402419699.979018,0.000000
20000,1,3,0.609728,402419699.979018,0.000000
20000,2,1,0.301110,402419699.979025,0.000000
20000,2,2,0.315860,402419699.979025,0.000000
20000,2,3,0.362976,402419699.979025,0.000000
20000,4,1,0.149166,402419699.979032,0.000000
20000,4,2,0.185065,402419699.979032,0.000000
20000,4,3,0.157894,402419699.979032,0.000000
20000,7,1,0.089231,402419699.979031,0.000000
20000,7,2,0.087826,402419699.979031,0.000000
20000,7,3,0.088367,402419699.979031,0.000000
20000,8,1,0.077870,402419699.979031,0.000000
20000,8,2,0.077765,402419699.979031,0.000000
20000,8,3,0.077934,402419699.979031,0.000000
20000,16,1,0.040303,402419699.979029,0.000000
20000,16,2,0.040079,402419699.979029,0.000000
20000,16,3,0.039455,402419699.979029,0.000000
20000,20,1,0.031139,402419699.979029,0.000000
20000,20,2,0.031063,402419699.979029,0.000000
20000,20,3,0.031271,402419699.979029,0.000000
20000,40,1,0.029255,402419699.979029,0.000000
20000,40,2,0.030165,402419699.979029,0.000000
20000,40,3,0.030769,402419699.979029,0.000000
40000,1,1,2.349708,1609639999.993997,0.000000
40000,1,2,2.314710,1609639999.993997,0.000000
40000,1,3,2.185068,1609639999.993997,0.000000
40000,2,1,1.235495,1609639999.993994,0.000000
40000,2,2,1.217989,1609639999.993994,0.000000
40000,2,3,1.207858,1609639999.993994,0.000000
40000,4,1,0.621416,1609639999.993988,0.000000
40000,4,2,0.605600,1609639999.993988,0.000000
40000,4,3,0.621873,1609639999.993988,0.000000
40000,7,1,0.400738,1609639999.993979,0.000000
40000,7,2,0.397995,1609639999.993980,0.000000
40000,7,3,0.387452,1609639999.993979,0.000000
40000,8,1,0.401066,1609639999.993977,0.000000
40000,8,2,0.336077,1609639999.993977,0.000000
40000,8,3,0.358648,1609639999.993977,0.000000
40000,16,1,0.148610,1609639999.993968,0.000000
40000,16,2,0.169690,1609639999.993968,0.000000
40000,16,3,0.549130,1609639999.993968,0.000000
40000,20,1,0.190144,1609639999.993972,0.000000
40000,20,2,0.172853,1609639999.993972,0.000000
40000,20,3,0.692572,1609639999.993972,0.000000
40000,40,1,0.134710,1609639999.993975,0.000000
40000,40,2,0.131601,1609639999.993975,0.000000
40000,40,3,0.198593,1609639999.993975,0.000000
