variant,threads,time_sec,speedup,efficiency,iterations,residual
parallel_for_each_loop,1,0.001097918,1.000000000,1.000000000,10,0.000001200
parallel_for_each_loop,2,0.001476049,0.743821677,0.371910838,10,0.000001200
parallel_for_each_loop,3,0.001029968,1.065972222,0.355324074,10,0.000001201
parallel_for_each_loop,4,0.000789881,1.389978871,0.347494718,10,0.000001201
parallel_for_each_loop,5,0.000653982,1.678818812,0.335763762,10,0.000001201
parallel_for_each_loop,6,0.000621080,1.767754319,0.294625720,10,0.000001200
parallel_for_each_loop,7,0.000555038,1.978092784,0.282584683,10,0.000001200
parallel_for_each_loop,8,0.000523090,2.098906108,0.262363263,10,0.000001200
parallel_for_each_loop,9,0.000473022,2.321068548,0.257896505,10,0.000001200
parallel_for_each_loop,10,0.000442982,2.478471475,0.247847147,10,0.000001200
parallel_for_each_loop,11,0.000437021,2.512274959,0.228388633,10,0.000001200
parallel_for_each_loop,12,0.000422955,2.595828636,0.216319053,10,0.000001200
parallel_for_each_loop,13,0.000414133,2.651122625,0.203932510,10,0.000001200
parallel_for_each_loop,14,0.000391960,2.801094891,0.200078206,10,0.000001200
parallel_for_each_loop,15,0.000380993,2.881727159,0.192115144,10,0.000001200
parallel_for_each_loop,16,0.000389814,2.816513761,0.176032110,10,0.000001200
parallel_for_each_loop,17,0.000401020,2.737812128,0.161047772,10,0.000001200
parallel_for_each_loop,18,0.000405073,2.710417893,0.150578772,10,0.000001200
parallel_for_each_loop,19,0.000401974,2.731316726,0.143753512,10,0.000001200
parallel_for_each_loop,20,0.000405073,2.710417893,0.135520895,10,0.000001200
parallel_for_each_loop,21,0.000375986,2.920101458,0.139052450,10,0.000001200
parallel_for_each_loop,22,0.000375032,2.927527018,0.133069410,10,0.000001200
parallel_for_each_loop,23,0.000385046,2.851393189,0.123973617,10,0.000001200
parallel_for_each_loop,24,0.000398874,2.752540347,0.114689181,10,0.000001200
parallel_for_each_loop,25,0.000401974,2.731316726,0.109252669,10,0.000001200
parallel_for_each_loop,26,0.000413895,2.652649770,0.102024991,10,0.000001200
parallel_for_each_loop,27,0.000421047,2.607587769,0.096577325,10,0.000001200
parallel_for_each_loop,28,0.000396013,2.772426249,0.099015223,10,0.000001200
parallel_for_each_loop,29,0.000390053,2.814792176,0.097061799,10,0.000001200
parallel_for_each_loop,30,0.000392914,2.794296117,0.093143204,10,0.000001200
parallel_for_each_loop,31,0.000389099,2.821691176,0.091022296,10,0.000001200
parallel_for_each_loop,32,0.000436068,2.517769273,0.078680290,10,0.000001200
parallel_for_each_loop,33,0.000428200,2.564031180,0.077697915,10,0.000001200
parallel_for_each_loop,34,0.000449896,2.440381558,0.071775928,10,0.000001200
parallel_for_each_loop,35,0.000422001,2.601694915,0.074334140,10,0.000001200
parallel_for_each_loop,36,0.000409126,2.683566434,0.074543512,10,0.000001200
parallel_for_each_loop,37,0.000424147,2.588532884,0.069960348,10,0.000001200
parallel_for_each_loop,38,0.000411034,2.671113689,0.070292466,10,0.000001200
parallel_for_each_loop,39,0.000413895,2.652649770,0.068016661,10,0.000001200
parallel_for_each_loop,40,0.000401020,2.737812128,0.068445303,10,0.000001200
parallel_for_each_loop,41,0.000419855,2.614991482,0.063780280,10,0.000001200
