n,threads,repeats,init_seconds,multiply_seconds,total_seconds,checksum,memory_gib
20000,1,1,1.263597428,0.586054827,1.849681233,1682659.88514,2.98053026199
20000,2,1,0.641009053,0.303751098,0.944781764,1682659.88514,2.98053026199
20000,4,1,0.334277139,0.158582276,0.492872212,1682659.88514,2.98053026199
20000,7,1,0.195561421,0.090121788,0.285690341,1682659.88514,2.98053026199
20000,8,1,0.173364015,0.078333354,0.251704207,1682659.88514,2.98053026199
20000,16,1,0.096422997,0.053014111,0.149444687,1682659.88514,2.98053026199
20000,20,1,0.087705968,0.052940271,0.140654358,1682659.88514,2.98053026199
20000,40,1,0.08488944,0.050128441,0.135030114,1682659.88514,2.98053026199
40000,1,1,5.063188504,2.228142163,7.291387833,6732415.50644,11.9215250015
40000,2,1,2.539323302,1.299436915,3.838797042,6732415.50644,11.9215250015
40000,4,1,1.306396485,0.649073455,1.955491569,6732415.50644,11.9215250015
40000,7,1,0.752957253,0.402616401,1.155591051,6732415.50644,11.9215250015
40000,8,1,0.661596326,0.342356393,1.003968529,6732415.50644,11.9215250015
40000,16,1,0.352793876,0.209762284,0.5625673,6732415.50644,11.9215250015
40000,20,1,0.323285306,0.211496414,0.53479276,6732415.50644,11.9215250015
40000,40,1,0.346731573,0.197810611,0.544555406,6732415.50644,11.9215250015
