task_id,operation,x,y,result
2,sqrt,123733.09449470878,0,351.75715272714609
6,sqrt,128339.35833279189,0,358.24483015500988
9,sqrt,589980.61478197749,0,768.10195598109078
12,sqrt,591640.81818418321,0,769.18191488371804
15,sqrt,111998.35355543974,0,334.66155075753733
17,sqrt,128919.60221527072,0,359.05375950583044
20,sqrt,925543.20063332072,0,962.05155819910226
23,sqrt,101245.00301989104,0,318.1901994403521
27,sqrt,792692.58553309983,0,890.33285097939631
30,sqrt,291860.76206407062,0,540.24139240164732
32,sqrt,891445.3377604431,0,944.16382993654395
35,sqrt,194732.89246518945,0,441.28549994894399
38,sqrt,129554.7955896349,0,359.93721062101218
42,sqrt,489686.33340031584,0,699.77591656209188
45,sqrt,856270.10719478608,0,925.34864088881989
48,sqrt,130867.69650116378,0,361.75640492071977
51,sqrt,564747.13506380003,0,751.4965968411301
54,sqrt,656145.5441486265,0,810.02811318412057
58,sqrt,975026.89084400202,0,987.4344995208553
63,sqrt,651409.66719931294,0,807.09953983341666
66,sqrt,249072.14525528683,0,499.07128273953697
70,sqrt,17538.049614077951,0,132.43130148902844
72,sqrt,605205.52431589214,0,777.94956412089607
75,sqrt,277880.11554250459,0,527.14335388251322
79,sqrt,227415.0802449701,0,476.88057230817248
82,sqrt,549180.81112175214,0,741.06734587468645
86,sqrt,721663.37195800256,0,849.50772330685879
89,sqrt,152812.1410826096,0,390.91193520102399
92,sqrt,315057.88141994976,0,561.30017051480547
95,sqrt,296112.89580654434,0,544.16256376798322
97,sqrt,87195.557522048039,0,295.28893904453656
101,sqrt,398426.33672079851,0,631.21021595091327
105,sqrt,451947.95391971368,0,672.27074450678992
107,sqrt,359503.09497008269,0,599.58576948596999
111,sqrt,947107.5051863119,0,973.19448476977709
114,sqrt,395050.98743846407,0,628.53081661797944
117,sqrt,151278.8669884929,0,388.94584068799719
120,sqrt,297415.82288927742,0,545.35843524170173
123,sqrt,748019.76359304087,0,864.88135810239362
126,sqrt,691432.7701431032,0,831.52436533339369
128,sqrt,277340.48616494733,0,526.63126204674495
132,sqrt,23106.576206959809,0,152.00847412877945
136,sqrt,620573.41722366482,0,787.7648235505726
138,sqrt,358304.67842421867,0,598.58556483114319
143,sqrt,689673.99308644782,0,830.4661300055817
145,sqrt,888635.98134285619,0,942.67490755978872
149,sqrt,3608.104992388216,0,60.067503630400822
152,sqrt,54608.215877688985,0,233.68400860497277
155,sqrt,745638.67397402378,0,863.50371972216988
157,sqrt,986679.04307004274,0,993.31719157077043
160,sqrt,191101.15190311914,0,437.15117740104409
163,sqrt,99514.481586865862,0,315.45915993495237
166,sqrt,341377.27110210742,0,584.27499612948304
169,sqrt,637346.17781835713,0,798.33963813552259
172,sqrt,729744.05095735879,0,854.25057855254556
175,sqrt,332169.99637342594,0,576.34190926343877
178,sqrt,404563.64636148611,0,636.05317887853221
181,sqrt,587025.7312990271,0,766.17604458703033
185,sqrt,733320.56429216545,0,856.34138303142015
187,sqrt,44788.853981393266,0,211.63377325321511
191,sqrt,304689.99391627399,0,551.98731318416549
194,sqrt,243502.44076567443,0,493.45966478089616
198,sqrt,125837.33833093441,0,354.73558932102429
201,sqrt,75915.939203381073,0,275.52847258202024
204,sqrt,200916.13046462298,0,448.23669022584818
207,sqrt,3178.2400907243341,0,56.375882172471002
210,sqrt,361619.14388941147,0,601.34777283150515
214,sqrt,650809.26635549392,0,806.72750440002596
217,sqrt,715325.80567214219,0,845.7693572553585
220,sqrt,587287.72630697372,0,766.34700123832533
224,sqrt,7080.2036771308858,0,84.143946170422069
227,sqrt,494934.8074317195,0,703.51603210710095
230,sqrt,329594.30503038003,0,574.10304391318118
233,sqrt,17332.932437357256,0,131.6545952003091
235,sqrt,421615.83558289468,0,649.3195173278674
238,sqrt,15826.9819780785,0,125.80533366307846
241,sqrt,100643.18268742831,0,317.24309714701172
245,sqrt,233733.52714647571,0,483.45995402564182
249,sqrt,135766.55521464383,0,368.46513432704029
254,sqrt,10199.002529467503,0,100.99011104790164
257,sqrt,777563.4908197464,0,881.79560603336324
261,sqrt,21523.662567612992,0,146.70944948302747
263,sqrt,331430.69235950231,0,575.70017575080021
267,sqrt,180461.23177249401,0,424.80728780529887
270,sqrt,948056.09286358696,0,973.68172051424847
272,sqrt,32406.846636652073,0,180.01901743052613
275,sqrt,434919.5981395634,0,659.48434260379781
279,sqrt,65452.828466492487,0,255.83750402646695
281,sqrt,332735.37561654468,0,576.83219017019553
284,sqrt,26119.387305033852,0,161.61493527837658
288,sqrt,879451.51898604608,0,937.79076503559475
290,sqrt,494065.7699573891,0,702.89812203290819
292,sqrt,752765.39270630898,0,867.62053497269699
295,sqrt,420755.44518757635,0,648.65664660710627
298,sqrt,585147.9350024513,0,764.9496290622352
301,sqrt,847281.77690249472,0,920.47910182822443
303,sqrt,548055.72068974865,0,740.30785534786048
306,sqrt,302065.08369130356,0,549.60447932245199
310,sqrt,45381.837971277062,0,213.03013395122545
312,sqrt,534117.94672854792,0,730.83373398369338
316,sqrt,297487.87827741919,0,545.42449365372215
319,sqrt,218102.41712610715,0,467.01436501044287
322,sqrt,151414.99705033022,0,389.12080007412891
325,sqrt,564613.1232748403,0,751.40742828031739
328,sqrt,866690.11433326523,0,930.96192958319477
331,sqrt,848056.96381976898,0,920.90008351599636
334,sqrt,706829.20094996342,0,840.73134885643663
336,sqrt,50010.449093404721,0,223.63016141255346
341,sqrt,919110.56655667606,0,958.70254331397075
344,sqrt,973146.25424914912,0,986.48175565955046
346,sqrt,866380.48631579312,0,930.79562005619323
348,sqrt,207777.33315815433,0,455.82598999854577
351,sqrt,936817.91082687676,0,967.89354312696844
356,sqrt,87056.972622937421,0,295.05418590987222
359,sqrt,237081.2002283656,0,486.90984815298776
362,sqrt,686972.60784522479,0,828.83810713867683
365,sqrt,702513.02412756544,0,838.16050021911997
368,sqrt,299644.88227528817,0,547.39828486695876
370,sqrt,1743.0991795604791,0,41.750439273862483
372,sqrt,186724.24591203488,0,432.11600978445
374,sqrt,461128.38244859601,0,679.06434337888481
376,sqrt,942039.234890625,0,970.58705683242295
379,sqrt,897349.12275336264,0,947.28513276276146
382,sqrt,334625.50525835884,0,578.46824049238762
386,sqrt,769859.25026595267,0,877.41623546977553
389,sqrt,785001.81220115966,0,886.00328001715638
391,sqrt,626635.71234534448,0,791.60325438021312
395,sqrt,313591.23041553202,0,559.99216995912718
398,sqrt,997955.6048345262,0,998.97727943858968
401,sqrt,174095.74633765972,0,417.24782364640288
406,sqrt,263899.18152286293,0,513.71118493066012
408,sqrt,746493.24336247798,0,863.99840472218352
411,sqrt,767084.95779190387,0,875.83386426416735
413,sqrt,618003.55153797311,0,786.13201915325465
416,sqrt,701976.32571511937,0,837.8402745840757
418,sqrt,419569.26377109799,0,647.74166437793542
421,sqrt,152412.6473848357,0,390.40062421163685
425,sqrt,593590.63156329107,0,770.44833153384855
428,sqrt,908182.38824808679,0,952.98603780332837
430,sqrt,736248.23279205197,0,858.04908530459488
433,sqrt,244205.14009517172,0,494.17116477509262
436,sqrt,143406.10212612615,0,378.68998154971854
439,sqrt,392598.5397173622,0,626.5768426277516
442,sqrt,381387.60245144303,0,617.56586891718928
446,sqrt,841952.30348665826,0,917.579589728683
